work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size,salary_in_usd_adjusted,log_salary_usd,simplified_job_title,employee_region,company_region,cross_border_work,cross_region_work,is_remote,salary_quartile,experience_level_encoded,company_size_encoded
2023,Data Analyst,Data Analysis,GBP,55000,67672.0,United Kingdom,Senior,Full-time,In-person,United Kingdom,M,67672.0,11.12242778398385,Data Analyst,Europe,Europe,False,False,0,Low,2,1
2023,Business Intelligence Engineer,BI and Visualization,USD,185000,185000.0,United States,Senior,Full-time,In-person,United States,L,185000.0,12.128111104060462,BI Developer,North America,North America,False,False,0,High,2,2
2023,Business Intelligence Engineer,BI and Visualization,USD,79600,79600.0,United States,Senior,Full-time,In-person,United States,L,79600.0,11.284769371832475,BI Developer,North America,North America,False,False,0,Low,2,2
2023,Data Engineer,Data Engineering,USD,165000,165000.0,United States,Senior,Full-time,In-person,United States,M,165000.0,12.013700752882718,Data Engineer,North America,North America,False,False,0,High,2,1
2023,Data Engineer,Data Engineering,USD,141000,141000.0,United States,Senior,Full-time,In-person,United States,M,141000.0,11.856515169360305,Data Engineer,North America,North America,False,False,0,Medium,2,1
2023,Cloud Data Engineer,Data Engineering,GBP,144000,177177.0,United Kingdom,Entry-level,Full-time,Remote,United Kingdom,L,177177.0,12.08490451188905,Data Engineer,Europe,Europe,False,False,1,High,0,2
2023,Data Scientist,Data Science and Research,USD,240000,240000.0,United States,Senior,Full-time,In-person,United States,S,240000.0,12.388394202324129,Data Scientist,North America,North America,False,False,0,Very High,2,0
2023,Data Scientist,Data Science and Research,USD,142000,142000.0,United States,Senior,Full-time,In-person,United States,S,142000.0,11.863582336583399,Data Scientist,North America,North America,False,False,0,Medium,2,0
2023,Machine Learning Engineer,Machine Learning and AI,USD,180000,180000.0,United States,Mid-level,Contract,Remote,United States,S,180000.0,12.100712129872347,ML/AI Engineer,North America,North America,False,False,1,High,1,0
2023,Machine Learning Engineer,Machine Learning and AI,USD,105000,105000.0,United States,Mid-level,Contract,Remote,United States,S,105000.0,11.56171562913966,ML/AI Engineer,North America,North America,False,False,1,Low,1,0
2023,Data Analyst,Data Analysis,USD,80000,80000.0,United States,Entry-level,Full-time,Remote,United States,M,80000.0,11.289781913656018,Data Analyst,North America,North America,False,False,1,Low,0,1
2023,Data Analyst,Data Analysis,USD,60000,60000.0,United States,Entry-level,Full-time,Remote,United States,M,60000.0,11.002099841204238,Data Analyst,North America,North America,False,False,1,Low,0,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,268000,268000.0,United States,Senior,Full-time,Remote,United States,M,268000.0,12.498742259492994,ML/AI Engineer,North America,North America,False,False,1,Very High,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,180000,180000.0,United States,Senior,Full-time,Remote,United States,M,180000.0,12.100712129872347,ML/AI Engineer,North America,North America,False,False,1,High,2,1
2023,Analytics Engineer,Leadership and Management,USD,144628,144628.0,United States,Mid-level,Full-time,In-person,United States,M,144628.0,11.88192020758248,Analytics Professional,North America,North America,False,False,0,Medium,1,1
2023,Analytics Engineer,Leadership and Management,USD,115702,115702.0,United States,Mid-level,Full-time,In-person,United States,M,115702.0,11.658773199117068,Analytics Professional,North America,North America,False,False,0,Medium,1,1
2023,Data Analyst,Data Analysis,USD,144000,144000.0,United States,Senior,Full-time,Remote,United States,M,144000.0,11.877568578558138,Data Analyst,North America,North America,False,False,1,Medium,2,1
2023,Data Analyst,Data Analysis,USD,132000,132000.0,United States,Senior,Full-time,Remote,United States,M,132000.0,11.790557201568507,Data Analyst,North America,North America,False,False,1,Medium,2,1
2023,Data Analyst,Data Analysis,USD,106400,106400.0,United Kingdom,Senior,Full-time,In-person,United Kingdom,M,106400.0,11.574960855889682,Data Analyst,Europe,Europe,False,False,0,Low,2,1
2023,Data Analyst,Data Analysis,USD,81800,81800.0,United Kingdom,Senior,Full-time,In-person,United Kingdom,M,81800.0,11.312032522590838,Data Analyst,Europe,Europe,False,False,0,Low,2,1
2023,Data Analyst,Data Analysis,USD,134200,134200.0,United Kingdom,Senior,Full-time,In-person,United Kingdom,M,134200.0,11.807086503519718,Data Analyst,Europe,Europe,False,False,0,Medium,2,1
2023,Data Analyst,Data Analysis,USD,103200,103200.0,United Kingdom,Senior,Full-time,In-person,United Kingdom,M,103200.0,11.544424132029599,Data Analyst,Europe,Europe,False,False,0,Low,2,1
2023,Data Analyst,Data Analysis,USD,110000,110000.0,United States,Senior,Full-time,Remote,United States,M,110000.0,11.608235644774552,Data Analyst,North America,North America,False,False,1,Medium,2,1
2023,Data Analyst,Data Analysis,USD,93500,93500.0,United States,Senior,Full-time,Remote,United States,M,93500.0,11.44571671527678,Data Analyst,North America,North America,False,False,1,Low,2,1
2023,Data Engineer,Data Engineering,USD,208200,208200.0,United States,Senior,Full-time,Remote,United States,M,208200.0,12.246254435163005,Data Engineer,North America,North America,False,False,1,Very High,2,1
2023,Data Engineer,Data Engineering,USD,151200,151200.0,United States,Senior,Full-time,Remote,United States,M,151200.0,11.926358742727569,Data Engineer,North America,North America,False,False,1,High,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,240000,240000.0,United States,Senior,Full-time,In-person,United States,M,240000.0,12.388394202324129,ML/AI Engineer,North America,North America,False,False,0,Very High,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,180000,180000.0,United States,Senior,Full-time,In-person,United States,M,180000.0,12.100712129872347,ML/AI Engineer,North America,North America,False,False,0,High,2,1
2023,Data Scientist,Data Science and Research,USD,270000,270000.0,United States,Senior,Full-time,In-person,United States,M,270000.0,12.506177237980511,Data Scientist,North America,North America,False,False,0,Very High,2,1
2023,Data Scientist,Data Science and Research,USD,220000,220000.0,United States,Senior,Full-time,In-person,United States,M,220000.0,12.301382825334498,Data Scientist,North America,North America,False,False,0,Very High,2,1
2023,Data Engineer,Data Engineering,USD,194500,194500.0,United States,Executive,Full-time,In-person,United States,M,194500.0,12.178187442040638,Data Engineer,North America,North America,False,False,0,Very High,3,1
2023,Data Engineer,Data Engineering,USD,115500,115500.0,United States,Executive,Full-time,In-person,United States,M,115500.0,11.657025808943985,Data Engineer,North America,North America,False,False,0,Medium,3,1
2023,Data Scientist,Data Science and Research,USD,225000,225000.0,United States,Senior,Full-time,In-person,United States,M,225000.0,12.323855681186558,Data Scientist,North America,North America,False,False,0,Very High,2,1
2023,Data Scientist,Data Science and Research,USD,156400,156400.0,United States,Senior,Full-time,In-person,United States,M,156400.0,11.960172107093348,Data Scientist,North America,North America,False,False,0,High,2,1
2023,Data Analyst,Data Analysis,USD,140000,140000.0,United Kingdom,Senior,Full-time,Remote,United Kingdom,M,140000.0,11.84939770159144,Data Analyst,Europe,Europe,False,False,1,Medium,2,1
2023,Data Analyst,Data Analysis,USD,100000,100000.0,United Kingdom,Senior,Full-time,Remote,United Kingdom,M,100000.0,11.512925464970229,Data Analyst,Europe,Europe,False,False,1,Low,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,193600,193600.0,United States,Senior,Full-time,In-person,United States,M,193600.0,12.173549453824613,ML/AI Engineer,North America,North America,False,False,0,Very High,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,119700,119700.0,United States,Senior,Full-time,In-person,United States,M,119700.0,11.692743891546064,ML/AI Engineer,North America,North America,False,False,0,Medium,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,225000,225000.0,France,Senior,Full-time,In-person,France,M,225000.0,12.323855681186558,ML/AI Engineer,Europe,Europe,False,False,0,Very High,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,199000,199000.0,France,Senior,Full-time,In-person,France,M,199000.0,12.201060103706629,ML/AI Engineer,Europe,Europe,False,False,0,Very High,2,1
2023,Data Analyst,Data Analysis,USD,50000,50000.0,United States,Entry-level,Full-time,Remote,United States,M,50000.0,10.819778284410283,Data Analyst,North America,North America,False,False,1,Low,0,1
2023,Data Analyst,Data Analysis,USD,40000,40000.0,United States,Entry-level,Full-time,Remote,United States,M,40000.0,10.596634733096073,Data Analyst,North America,North America,False,False,1,Low,0,1
2023,Data Scientist,Data Science and Research,USD,185900,185900.0,United States,Senior,Full-time,In-person,United States,M,185900.0,12.132964173709535,Data Scientist,North America,North America,False,False,0,High,2,1
2023,Data Scientist,Data Science and Research,USD,129300,129300.0,United States,Senior,Full-time,In-person,United States,M,129300.0,11.76989056475995,Data Scientist,North America,North America,False,False,0,Medium,2,1
2023,Data Analyst,Data Analysis,USD,120000,120000.0,United States,Senior,Full-time,Remote,United States,M,120000.0,11.695247021764184,Data Analyst,North America,North America,False,False,1,Medium,2,1
2023,Data Analyst,Data Analysis,USD,95000,95000.0,United States,Senior,Full-time,Remote,United States,M,95000.0,11.461632170582678,Data Analyst,North America,North America,False,False,1,Low,2,1
2023,Data Analyst,Data Analysis,GBP,80000,98432.0,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,98432.0,11.497121233425261,Data Analyst,Europe,Europe,False,False,0,Low,1,1
2023,Data Analyst,Data Analysis,GBP,45000,55368.0,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,55368.0,10.9217570885217,Data Analyst,Europe,Europe,False,False,0,Low,1,1
2023,Data Scientist,Data Science and Research,USD,225000,225000.0,United States,Senior,Full-time,In-person,United States,M,225000.0,12.323855681186558,Data Scientist,North America,North America,False,False,0,Very High,2,1
2023,Data Scientist,Data Science and Research,USD,156400,156400.0,United States,Senior,Full-time,In-person,United States,M,156400.0,11.960172107093348,Data Scientist,North America,North America,False,False,0,High,2,1
2023,Analytics Engineering Manager,Leadership and Management,GBP,325000,308257.5,United Kingdom,Senior,Full-time,Hybrid,United Kingdom,L,308257.5,12.638690751630843,Other Leadership,Europe,Europe,False,False,0,Very High,2,2
2023,Data Engineer,Data Engineering,EUR,38000,41027.0,Spain,Entry-level,Full-time,Remote,Spain,L,41027.0,10.621985665531742,Data Engineer,Europe,Europe,False,False,1,Low,0,2
2023,Machine Learning Engineer,Machine Learning and AI,USD,155000,155000.0,United States,Senior,Full-time,In-person,United States,M,155000.0,11.951180395901384,ML/AI Engineer,North America,North America,False,False,0,High,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,100000,100000.0,United States,Senior,Full-time,In-person,United States,M,100000.0,11.512925464970229,ML/AI Engineer,North America,North America,False,False,0,Low,2,1
2023,Data Analyst,Data Analysis,USD,85000,85000.0,United States,Senior,Full-time,In-person,United States,M,85000.0,11.350406535472453,Data Analyst,North America,North America,False,False,0,Low,2,1
2023,Data Analyst,Data Analysis,USD,65000,65000.0,United States,Senior,Full-time,In-person,United States,M,65000.0,11.082142548877775,Data Analyst,North America,North America,False,False,0,Low,2,1
2023,Data Architect,Data Architecture and Modeling,USD,280100,280100.0,United States,Senior,Full-time,Remote,United States,M,280100.0,12.5429019612482,Data Architect,North America,North America,False,False,1,Very High,2,1
2023,Data Architect,Data Architecture and Modeling,USD,168100,168100.0,United States,Senior,Full-time,Remote,United States,M,168100.0,12.032314319396708,Data Architect,North America,North America,False,False,1,High,2,1
2023,Machine Learning Scientist,Machine Learning and AI,USD,200000,200000.0,United States,Senior,Full-time,In-person,United States,M,200000.0,12.206072645530174,ML/AI Engineer,North America,North America,False,False,0,Very High,2,1
2023,Machine Learning Scientist,Machine Learning and AI,USD,120000,120000.0,United States,Senior,Full-time,In-person,United States,M,120000.0,11.695247021764184,ML/AI Engineer,North America,North America,False,False,0,Medium,2,1
